Longitude,Latitude,Predicted_UHI
-70.73062,-33.35770833,Medium
-70.73101167,-33.35771833,High
-70.73141667,-33.357735,High
-70.73182167,-33.35774833,High
-70.73225167,-33.35775167,High
-70.732715,-33.357755,High
-70.73321667,-33.35776167,High
-70.73363,-33.35777167,High
-70.734035,-33.35777833,High
-70.73436333,-33.357795,High
-70.73475833,-33.35779333,High
-70.73520333,-33.35779333,High
-70.73568833,-33.35780167,High
-70.736195,-33.35780833,High
-70.73662833,-33.35788,High
-70.73720833,-33.35801,Medium
-70.73733333,-33.357735,Medium
-70.73742,-33.35744833,Medium
-70.73750833,-33.35714667,Medium
-70.73760167,-33.35682333,Medium
-70.73770167,-33.35646667,Medium
-70.73780333,-33.35610167,High
-70.73811667,-33.35584833,High
-70.73847667,-33.35579833,High
-70.738835,-33.35574667,High
-70.73920333,-33.35571167,High
-70.73959167,-33.35565,High
-70.73997,-33.35560333,Medium
-70.74031833,-33.35555333,Medium
-70.74066833,-33.35550167,Medium
-70.74103667,-33.35546667,High
-70.74141333,-33.355425,High
-70.74178167,-33.35538,High
-70.74216333,-33.35533333,High
-70.74256667,-33.35528333,High
-70.74291833,-33.35523,High
-70.74326833,-33.355185,High
-70.74362167,-33.35513167,High
-70.74396333,-33.35508667,High
-70.74434333,-33.35503667,Medium
-70.744695,-33.35498833,High
-70.74500333,-33.35494333,High
-70.74545333,-33.35489,High
-70.74577667,-33.35485167,High
-70.74614833,-33.35483667,High
-70.74646833,-33.35478667,High
-70.74698667,-33.35474,High
-70.74747333,-33.354695,High
-70.747805,-33.35467,High
-70.74852,-33.35458333,High
-70.74890167,-33.35455,High
-70.749285,-33.35450167,High
-70.74967167,-33.3547,High
-70.74978833,-33.35500333,High
-70.75012833,-33.35514333,High
-70.75043333,-33.35526,High
-70.75079167,-33.35539667,High
-70.75114167,-33.35554,High
-70.751485,-33.355675,High
-70.75176167,-33.35585833,High
-70.751625,-33.35617167,High
-70.75140667,-33.35661167,High
-70.75127167,-33.35692833,High
-70.75109,-33.357305,High
-70.75093333,-33.35766167,High
-70.75073333,-33.35803667,High
-70.75055833,-33.358385,High
-70.750395,-33.358685,High
-70.75022,-33.35898333,High
-70.749975,-33.35942,High
-70.74975333,-33.35973833,High
-70.74936333,-33.36036167,High
-70.74921667,-33.36060833,High
-70.749645,-33.360975,High
-70.75000833,-33.36106333,High
-70.75041167,-33.36113167,High
-70.75080167,-33.36120333,High
-70.75118333,-33.36127333,High
-70.75156333,-33.361345,High
-70.75190333,-33.36140833,High
-70.752285,-33.361485,High
-70.752615,-33.361545,High
-70.75290833,-33.3616,High
-70.75338667,-33.361695,High
-70.75380167,-33.36176667,Medium
-70.75403833,-33.36197167,Medium
-70.753885,-33.36230833,High
-70.75375,-33.36260667,High
-70.75360333,-33.36294167,High
-70.75344667,-33.36329833,Medium
-70.75326833,-33.36369667,High
-70.75310833,-33.36403833,High
-70.75306,-33.36431833,High
-70.75321167,-33.36468,High
-70.75354333,-33.36491167,High
-70.75380333,-33.36514167,High
-70.75410667,-33.365385,Medium
-70.75446167,-33.36568667,Medium
-70.75481333,-33.36594333,High
-70.75507167,-33.36613167,High
-70.75532833,-33.36637,High
-70.754995,-33.36647667,Medium
-70.75457167,-33.36655833,Medium
-70.75422333,-33.36664833,High
-70.75379667,-33.366745,Medium
-70.75340667,-33.36683333,Medium
-70.753025,-33.36692167,Medium
-70.75263167,-33.36701333,Medium
-70.75224,-33.3671,Medium
-70.75187667,-33.36717833,High
-70.75153,-33.36725333,High
-70.75121667,-33.36731667,High
-70.75084167,-33.36739,High
-70.7505,-33.36748167,High
-70.75004833,-33.36758333,High
-70.74959167,-33.36768667,High
-70.74914167,-33.36778,High
-70.748685,-33.36785167,High
-70.74833,-33.36790333,High
-70.74797167,-33.36796833,High
-70.747655,-33.36805667,High
-70.74727667,-33.36813833,High
-70.74686667,-33.36823,High
-70.74644333,-33.368325,High
-70.74639,-33.36864167,High
-70.74655833,-33.369025,High
-70.74664333,-33.36928333,High
-70.74673833,-33.36955167,High
-70.74651167,-33.3698,High
-70.74618333,-33.36986833,High
-70.74580333,-33.36994667,High
-70.74540667,-33.37004667,High
-70.745005,-33.37014833,High
-70.74467833,-33.370225,High
-70.74434167,-33.370315,High
-70.74388667,-33.3704,High
-70.74354167,-33.37047667,High
-70.74314333,-33.37058167,High
-70.74282667,-33.37065833,High
-70.74258167,-33.37096667,High
-70.74288167,-33.371105,High
-70.743165,-33.37121667,High
-70.74349,-33.37138167,High
-70.74379667,-33.37161833,High
-70.74425667,-33.37177,High
-70.74464167,-33.371685,High
-70.74491833,-33.37162,Low
-70.74530333,-33.37153167,High
-70.74568,-33.371415,High
-70.74602,-33.37133833,High
-70.74641,-33.37125667,High
-70.74677833,-33.37117667,Low
-70.74723667,-33.37107667,High
-70.747755,-33.37094,High
-70.748185,-33.37085167,High
-70.74865167,-33.37069833,Low
-70.7491,-33.37052833,High
-70.749525,-33.37037167,High
-70.74998,-33.370205,High
-70.75049,-33.37009667,High
-70.75103667,-33.37005667,High
-70.75161167,-33.37002333,Medium
-70.75214,-33.36997,High
-70.75264333,-33.36990667,Medium
-70.75314167,-33.369845,Low
-70.75365,-33.36980167,Low
-70.754095,-33.36974,Low
-70.754515,-33.36968333,Low
-70.75467333,-33.36993333,Medium
-70.75480833,-33.37025167,High
-70.75496,-33.37062167,Medium
-70.75510667,-33.37100167,High
-70.75524667,-33.37130333,High
-70.75546333,-33.371585,High
-70.75572333,-33.3719,High
-70.756005,-33.37221333,High
-70.756375,-33.37258,High
-70.75672833,-33.37292833,High
-70.75705667,-33.37325333,High
-70.75730667,-33.373555,High
-70.75750167,-33.37381833,Medium
-70.75782167,-33.373795,Medium
-70.75823167,-33.3737,Medium
-70.75873333,-33.37359333,Medium
-70.75928,-33.373465,Medium
-70.75982833,-33.37331667,High
-70.760305,-33.373165,Medium
-70.76083667,-33.37304333,Medium
-70.76136,-33.37292167,Medium
-70.76186,-33.37280833,Medium
-70.76229833,-33.37270667,High
-70.76269667,-33.37260167,High
-70.763055,-33.37252167,High
-70.763505,-33.37246,High
-70.764025,-33.37232833,High
-70.76459167,-33.372195,High
-70.76512333,-33.37207,High
-70.76569167,-33.371925,High
-70.76623167,-33.371775,High
-70.76683,-33.37163333,High
-70.76738833,-33.37144167,High
-70.76798667,-33.37126333,High
-70.76856333,-33.37109333,High
-70.76913833,-33.37093,High
-70.76968667,-33.37077667,High
-70.77021,-33.370655,High
-70.77074,-33.37048833,High
-70.77125167,-33.37035333,High
-70.77178,-33.37021333,High
-70.77233667,-33.37007167,Low
-70.77291833,-33.36991333,Low
-70.77351333,-33.36973833,Low
-70.77410167,-33.36959833,Low
-70.77466667,-33.36944333,High
-70.77526,-33.36929167,High
-70.77581333,-33.36915,High
-70.776375,-33.368995,High
-70.77694333,-33.36885333,High
-70.777505,-33.36871167,High
-70.778045,-33.36853833,High
-70.77856167,-33.36839,High
-70.77909833,-33.368195,High
-70.77960167,-33.36792167,High
-70.77999667,-33.36763667,Low
-70.78035333,-33.36754833,Low
-70.78112667,-33.36808667,Low
-70.78099167,-33.368485,Low
-70.78088,-33.36889,Low
-70.78080667,-33.36927,Low
-70.78065667,-33.369635,Low
-70.78043667,-33.37007,Low
-70.78031167,-33.37054833,Low
-70.78015,-33.371025,Low
-70.77998,-33.37150167,Low
-70.77982333,-33.371965,Low
-70.77966167,-33.37242833,Low
-70.77957,-33.372905,Low
-70.77947167,-33.37336,Low
-70.77935,-33.37378,Low
-70.77922333,-33.37419833,Low
-70.77905667,-33.37463167,Low
-70.778955,-33.37500667,Low
-70.77881833,-33.37530833,Low
-70.77863167,-33.37559167,Low
-70.778385,-33.37586333,Low
-70.77803,-33.37612667,Low
-70.77766167,-33.37626167,High
-70.777245,-33.37649333,High
-70.77686833,-33.37675667,High
-70.77650667,-33.37698,High
-70.776155,-33.37719333,High
-70.77580333,-33.37739667,High
-70.77543,-33.37761333,High
-70.77505667,-33.37784333,High
-70.77464667,-33.37804833,High
-70.77424667,-33.37831667,High
-70.773855,-33.378545,High
-70.77347167,-33.37879,High
-70.77306333,-33.37903667,High
-70.77266167,-33.37925667,High
-70.77226167,-33.379505,High
-70.77188833,-33.37972167,High
-70.77151167,-33.37994333,High
-70.77110667,-33.380175,High
-70.77069833,-33.38042667,High
-70.77029667,-33.38067167,High
-70.76985167,-33.38093,High
-70.76941167,-33.38117833,High
-70.768955,-33.38147167,High
-70.76849,-33.38173,High
-70.76803667,-33.38200833,High
-70.7676,-33.38228667,High
-70.76715167,-33.38254167,High
-70.76669167,-33.38281333,High
-70.76620667,-33.38309667,High
-70.76575833,-33.38338167,High
-70.76529,-33.38366167,High
-70.76482167,-33.38389,High
-70.76432167,-33.38418167,High
-70.76386,-33.38447833,Medium
-70.7634,-33.38476667,Medium
-70.76296333,-33.385055,Medium
-70.76252,-33.38533833,Medium
-70.76203833,-33.385605,Medium
-70.76160333,-33.38584333,Medium
-70.761185,-33.38607,Medium
-70.76089333,-33.38624333,Medium
-70.76026333,-33.38654,Low
-70.75997833,-33.38671167,Low
-70.759585,-33.38699667,Low
-70.75918167,-33.38723833,Medium
-70.75879,-33.387485,Medium
-70.758415,-33.387715,Medium
-70.75800833,-33.387935,Medium
-70.75759167,-33.38815667,Medium
-70.7571,-33.38837333,High
-70.75663,-33.38855167,Low
-70.756255,-33.38877,Low
-70.75601667,-33.38892167,Low
-70.75566333,-33.38912167,Low
-70.75535167,-33.38894,Low
-70.75513667,-33.388685,High
-70.75491167,-33.38842667,High
-70.75467333,-33.38814,High
-70.754425,-33.38781667,High
-70.75413333,-33.38754333,High
-70.753885,-33.387295,High
-70.753635,-33.38706333,High
-70.753335,-33.38676833,High
-70.75301667,-33.38649833,High
-70.75272,-33.38625667,High
-70.75250833,-33.38607,High
-70.75224833,-33.38585667,High
-70.752045,-33.38564167,High
-70.75178667,-33.38542333,High
-70.751445,-33.38522667,High
-70.751105,-33.38506167,High
-70.75078333,-33.38488333,High
-70.750525,-33.38474167,Low
-70.75022667,-33.38466167,Low
-70.74991,-33.38465833,Medium
-70.74956167,-33.38467667,High
-70.74923667,-33.38469333,Medium
-70.74894,-33.38469,Medium
-70.74867667,-33.38450833,Medium
-70.748395,-33.38428333,Medium
-70.748115,-33.384045,Medium
-70.74782667,-33.38381167,Low
-70.74751333,-33.38358167,Medium
-70.74722667,-33.38332667,Medium
-70.746965,-33.38311833,Low
-70.74651833,-33.38269333,Low
-70.74626833,-33.38250167,Medium
-70.74598833,-33.38231333,Medium
-70.745675,-33.38210333,Medium
-70.74541167,-33.38184667,Medium
-70.74514833,-33.38159667,Low
-70.74488167,-33.381335,Low
-70.74459333,-33.38109667,Low
-70.74429167,-33.380845,Low
-70.74400167,-33.38063,Medium
-70.74373167,-33.38038,Medium
-70.74360667,-33.38006167,Medium
-70.74370167,-33.379735,Medium
-70.74383333,-33.37939667,Low
-70.74396333,-33.37905333,Medium
-70.74408833,-33.378725,Medium
-70.74419333,-33.378445,Medium
-70.74419,-33.37813667,Medium
-70.743995,-33.37789167,Low
-70.74379333,-33.37766333,Medium
-70.74345333,-33.3775,Medium
-70.74301333,-33.37759667,Medium
-70.742595,-33.377685,Medium
-70.74224167,-33.377765,Medium
-70.74190167,-33.37784167,Medium
-70.741535,-33.37791833,Medium
-70.74121167,-33.37797833,Medium
-70.740735,-33.37812167,Low
-70.74022667,-33.37823667,High
-70.73984,-33.37816167,High
-70.73974,-33.37786833,High
-70.73963167,-33.37759667,High
-70.73949167,-33.377365,High
-70.73934,-33.37713167,Medium
-70.73917,-33.37690833,Medium
-70.73884167,-33.376625,High
-70.73857667,-33.37643333,High
-70.73833,-33.376275,Low
-70.73807833,-33.37609,Low
-70.73786833,-33.375875,High
-70.737695,-33.37566,High
-70.737605,-33.375355,High
-70.73771167,-33.37508667,High
-70.73786833,-33.37484,High
-70.73804,-33.37459333,High
-70.73822667,-33.37433667,Low
-70.73834167,-33.37402333,High
-70.73831667,-33.37368333,High
-70.738175,-33.37336167,High
-70.73793833,-33.37308,High
-70.73766,-33.37285,High
-70.73743167,-33.37267833,High
-70.73769167,-33.37225833,High
-70.737715,-33.37190333,High
-70.73734,-33.37188333,High
-70.73694333,-33.371935,High
-70.73654,-33.37198167,High
-70.73623333,-33.37199667,High
-70.73581333,-33.37201833,High
-70.73529167,-33.37209167,Medium
-70.734795,-33.37218,High
-70.73432,-33.37222167,High
-70.73380167,-33.37227667,High
-70.733245,-33.372355,High
-70.73270833,-33.37242,High
-70.73216167,-33.37247333,High
-70.73164333,-33.372515,High
-70.73113167,-33.372575,High
-70.73061,-33.37263667,Low
-70.73014333,-33.3727,Medium
-70.72983167,-33.37284833,Medium
-70.72957167,-33.37304,Medium
-70.72927,-33.37327667,High
-70.72893167,-33.37356,High
-70.72868,-33.37375667,High
-70.72840667,-33.37397,High
-70.72812333,-33.37418167,High
-70.72781833,-33.37442,High
-70.727535,-33.37466833,High
-70.727245,-33.37491167,High
-70.72693,-33.37512333,High
-70.72668167,-33.37532833,High
-70.72634833,-33.37560333,High
-70.72610667,-33.37581833,High
-70.72581333,-33.37606,High
-70.72553,-33.37628333,High
-70.72523167,-33.37651167,High
-70.7249,-33.376765,High
-70.72451833,-33.37705667,High
-70.72423667,-33.377275,High
-70.72393667,-33.37751667,High
-70.72368667,-33.37770667,High
-70.72333833,-33.37798,High
-70.72307667,-33.37819333,Medium
-70.72273167,-33.37858833,Medium
-70.72290833,-33.37889167,High
-70.72308833,-33.37917833,Medium
-70.72325,-33.37942833,Medium
-70.72339833,-33.37967333,Medium
-70.72356833,-33.37993667,Medium
-70.72375333,-33.38022833,Medium
-70.72389833,-33.38044167,Medium
-70.72396333,-33.38085,High
-70.72393667,-33.38110167,High
-70.72391833,-33.38140333,High
-70.72390167,-33.38173333,High
-70.72387833,-33.38215833,High
-70.72385167,-33.38250333,High
-70.72385333,-33.382845,Medium
-70.72388833,-33.38321667,Medium
-70.72372,-33.38355167,Medium
-70.723305,-33.38345333,Medium
-70.72294833,-33.38342667,Medium
-70.72257167,-33.38340167,Medium
-70.722175,-33.383365,Medium
-70.72172333,-33.38332833,Medium
-70.721265,-33.383255,Medium
-70.720975,-33.38321333,Medium
-70.72064167,-33.38313667,Medium
-70.72016833,-33.38302667,Medium
-70.71971333,-33.38289333,Medium
-70.719335,-33.382785,Medium
-70.71904333,-33.38269333,Medium
-70.71864833,-33.38265,Medium
-70.71847333,-33.38241333,High
-70.71841833,-33.38203333,High
-70.71830667,-33.38171833,High
-70.71819167,-33.38141333,High
-70.718085,-33.38113667,High
-70.71795,-33.38073667,Medium
-70.717915,-33.380395,Low
-70.71798333,-33.37999833,Low
-70.71816167,-33.37962833,Low
-70.71830333,-33.37925,Low
-70.71843667,-33.378965,Low
-70.71862833,-33.37860667,Low
-70.71872833,-33.378205,Low
-70.71843167,-33.37781667,Low
-70.71817333,-33.37749833,Low
-70.71791667,-33.37719333,Low
-70.71765333,-33.376865,Low
-70.71740833,-33.37655,Low
-70.71713833,-33.376225,Low
-70.71686333,-33.3759,Low
-70.71658667,-33.37555333,Low
-70.71633,-33.37526,Low
-70.71609167,-33.37497167,Low
-70.715855,-33.37470167,Low
-70.715335,-33.37434167,Medium
-70.71496167,-33.37432167,High
-70.71451167,-33.374255,High
-70.714055,-33.374195,High
-70.71361333,-33.37410833,High
-70.71306,-33.374005,High
-70.71253167,-33.373855,Medium
-70.712045,-33.37367167,Medium
-70.71153333,-33.37347167,Medium
-70.711,-33.37322333,High
-70.71055333,-33.372955,High
-70.71007833,-33.372655,High
-70.70964,-33.37236333,High
-70.70915167,-33.37208167,Medium
-70.70870333,-33.37177167,High
-70.70820833,-33.37150167,Medium
-70.707745,-33.37122167,Medium
-70.70724833,-33.37092833,Medium
-70.70678167,-33.37067167,Medium
-70.706345,-33.37034667,Medium
-70.70589333,-33.37007167,Low
-70.70545,-33.36991667,Medium
-70.70502,-33.36974,Medium
-70.704675,-33.36942167,Medium
-70.70426667,-33.36916,Low
-70.70382167,-33.36887833,Low
-70.70341167,-33.368585,Low
-70.70305,-33.36832167,Low
-70.70268833,-33.368085,Low
-70.70244833,-33.36782667,Low
-70.70248333,-33.36755167,Low
-70.70279167,-33.36729167,Low
-70.703115,-33.366895,Low
-70.70345167,-33.36651667,Low
-70.70376833,-33.36614167,Medium
-70.70404833,-33.36580667,Low
-70.704295,-33.365545,Medium
-70.70458333,-33.365345,Low
-70.704995,-33.36532667,Medium
-70.70540167,-33.365405,Medium
-70.706535,-33.36569833,Medium
-70.70692333,-33.36578333,Medium
-70.70737167,-33.36587667,Medium
-70.70782167,-33.36591,High
-70.70826167,-33.365905,High
-70.70867667,-33.36590167,High
-70.70915833,-33.36592833,High
-70.70966667,-33.36598833,High
-70.71017167,-33.36606167,High
-70.71066167,-33.36614333,High
-70.71105333,-33.36621333,High
-70.711355,-33.36627333,High
-70.71175667,-33.36633167,High
-70.71208333,-33.36639,High
-70.71243167,-33.36646333,High
-70.71282,-33.36655333,High
-70.71322667,-33.36664,High
-70.71381167,-33.36646667,High
-70.71391333,-33.36611833,High
-70.71401667,-33.36579833,High
-70.71409333,-33.36551,High
-70.71407833,-33.36519,High
-70.71404833,-33.36482333,High
-70.71401667,-33.36446,High
-70.71399,-33.3641,High
-70.71397333,-33.36377667,High
-70.71397333,-33.363365,High
-70.71404667,-33.36308,High
-70.71407833,-33.36278833,High
-70.714055,-33.36245167,High
-70.71403167,-33.36220333,High
-70.71399667,-33.36179167,Medium
-70.71397667,-33.36148333,Medium
-70.71402333,-33.36123,High
-70.71446667,-33.36122667,Medium
-70.71479667,-33.361215,High
-70.71510833,-33.36120833,Medium
-70.71569,-33.36110333,Medium
-70.71615833,-33.36099167,High
-70.716565,-33.36089833,Medium
-70.71695833,-33.36082167,High
-70.71730167,-33.36074,Medium
-70.717655,-33.360665,Medium
-70.717965,-33.36060667,Medium
-70.71825167,-33.36053333,High
-70.71868,-33.360425,High
-70.71988833,-33.36017167,High
-70.72029667,-33.36011,High
-70.72080167,-33.35985333,High
-70.7208,-33.35955833,High
-70.720785,-33.359215,High
-70.720775,-33.358875,High
-70.72076667,-33.35851833,High
-70.72075333,-33.35816833,High
-70.72074,-33.357845,High
-70.72073667,-33.35749,Medium
-70.72073,-33.35707833,High
-70.72071667,-33.35677333,High
-70.72071333,-33.356425,High
-70.72069833,-33.356045,High
-70.72067833,-33.35563167,Medium
-70.72071667,-33.35523833,High
-70.72074,-33.354865,High
-70.72076667,-33.35454667,High
-70.721135,-33.35443167,High
-70.72148333,-33.35433667,High
-70.72188833,-33.354225,High
-70.72227833,-33.35413167,High
-70.72271667,-33.35402833,High
-70.723235,-33.35394667,High
-70.723655,-33.35383167,High
-70.72404,-33.35377333,High
-70.72440667,-33.35373,High
-70.72478,-33.353685,High
-70.72514333,-33.35364833,High
-70.725555,-33.35359333,High
-70.725955,-33.353535,High
-70.72638833,-33.35345333,High
-70.72682167,-33.35334833,High
-70.72726,-33.3533,High
-70.72770667,-33.35318167,High
-70.72815,-33.35307833,High
-70.72895833,-33.35281333,High
-70.72912,-33.35307833,High
-70.72913833,-33.35338667,High
-70.72916,-33.35376,High
-70.72917167,-33.35412833,High
-70.72919667,-33.35448667,High
-70.72922833,-33.35485167,High
-70.72923833,-33.35518,High
-70.72926,-33.35548,High
-70.72928333,-33.35591167,High
-70.72931667,-33.35659833,High
-70.72932167,-33.35685833,High
-70.72930667,-33.35745667,High
-70.72941667,-33.35767833,High
-70.72976,-33.35768667,Medium
-70.73010833,-33.35768167,High
-70.73043,-33.35769833,High
-70.73080833,-33.35771333,High
-70.73121333,-33.357725,High
